t,BARRA DE FERRO,BARRA DE ALUMINIO,BARRA DE LATA
0,0.45,0.85,0.74
5,0.44,0.87,0.73
10,0.42,0.84,0.71
15,0.41,0.81,0.685
20,0.395,0.79,0.67
25,0.38,0.765,0.65
30,0.37,0.75,0.63
35,0.355,0.73,0.615
40,0.34,0.71,0.6
45,0.33,0.7,0.58
50,0.33,0.68,0.57
55,0.32,0.665,0.56
60,0.31,0.65,0.545
65,0.3,0.64,0.53
70,0.29,0.63,0.52
75,0.285,0.61,0.51
80,0.28,0.6,0.5
85,0.27,0.59,0.49
90,0.265,0.575,0.48
95,0.26,0.56,0.47
100,0.25,0.55,0.455
105,0.245,0.54,0.45
110,0.23,0.525,0.44
115,0.23,0.51,0.43
120,0.22,0.5,0.42
125,0.22,0.49,0.41
130,0.21,0.48,0.4
135,0.2,0.47,0.39
140,0.2,0.46,0.38
145,0.195,0.45,0.37
150,0.19,0.445,0.365
155,0.19,0.435,0.36
160,0.185,0.43,0.35
165,0.18,0.42,0.345
170,0.175,0.41,0.34
175,0.175,0.4,0.33
180,0.17,0.39,0.325
185,0.165,0.38,0.32
190,0.16,0.375,0.31
195,0.16,0.37,0.305
200,0.15,0.36,0.3
205,0.15,0.355,0.295
210,0.145,0.35,0.29
215,0.143,0.34,0.28
220,0.14,0.33,0.275
225,0.135,0.33,0.27
230,0.13,0.32,0.265
235,0.13,0.315,0.26
240,0.125,0.31,0.255
245,0.125,0.305,0.25
250,0.125,0.3,0.25